vmin_low,vmin_high,vmin_mid,flux
1.698000000000000043e+01,1.777899999999999991e+01,1.737950000000000017e+01,1.102040457390808107e-31
1.777899999999999991e+01,1.857799999999999940e+01,1.817849999999999966e+01,1.102040457390808107e-31
1.857799999999999940e+01,1.937699999999999889e+01,1.897749999999999915e+01,1.102040457390808107e-31
1.937699999999999889e+01,2.017599999999999838e+01,1.977649999999999864e+01,1.102040457390808107e-31
2.017599999999999838e+01,2.097500000000000142e+01,2.057549999999999812e+01,1.102040457390808107e-31
2.097500000000000142e+01,2.177400000000000091e+01,2.137450000000000117e+01,1.102040457390808107e-31
2.177400000000000091e+01,2.257300000000000040e+01,2.217350000000000065e+01,1.102040457390808982e-31
2.257300000000000040e+01,2.337200000000000344e+01,2.297250000000000369e+01,1.102040457390808982e-31
2.337200000000000344e+01,2.417100000000000293e+01,2.377150000000000318e+01,1.102040457390808764e-31
2.417100000000000293e+01,2.496999999999999886e+01,2.457050000000000267e+01,1.102040457390808982e-31
2.496999999999999886e+01,2.576900000000000190e+01,2.536950000000000216e+01,1.102040457390808764e-31
2.576900000000000190e+01,2.656800000000000139e+01,2.616850000000000165e+01,1.102040457390808982e-31
2.656800000000000139e+01,2.736700000000000088e+01,2.696750000000000114e+01,1.102040457390808982e-31
2.736700000000000088e+01,2.816600000000000392e+01,2.776650000000000063e+01,1.102040457390808982e-31
2.816600000000000392e+01,2.896500000000000341e+01,2.856550000000000367e+01,1.102040457390808982e-31
2.896500000000000341e+01,2.976400000000000290e+01,2.936450000000000315e+01,1.081510821933384364e-31
2.976400000000000290e+01,3.056299999999999883e+01,3.016349999999999909e+01,1.081510821933384364e-31
3.056299999999999883e+01,3.136199999999999832e+01,3.096249999999999858e+01,1.081510821933385678e-31
3.136199999999999832e+01,3.216100000000000136e+01,3.176149999999999807e+01,1.081510821933385678e-31
3.216100000000000136e+01,3.296000000000000085e+01,3.256050000000000466e+01,1.081510821933385678e-31
3.296000000000000085e+01,3.375900000000000745e+01,3.335950000000000415e+01,1.081510821933385678e-31
3.375900000000000745e+01,3.455799999999999983e+01,3.415850000000000364e+01,1.081510821933385678e-31
3.455799999999999983e+01,3.535700000000000642e+01,3.495750000000000313e+01,1.081510821933385678e-31
3.535700000000000642e+01,3.615599999999999881e+01,3.575650000000000261e+01,1.081510821933385678e-31
3.615599999999999881e+01,3.695499999999999829e+01,3.655549999999999500e+01,1.081510821933385678e-31
3.695499999999999829e+01,3.775399999999999778e+01,3.735450000000000159e+01,1.081510821933385897e-31
3.775399999999999778e+01,3.855300000000000438e+01,3.815350000000000108e+01,1.081510821933385897e-31
3.855300000000000438e+01,3.935199999999999676e+01,3.895250000000000057e+01,1.081510821933385897e-31
3.935199999999999676e+01,4.015100000000000335e+01,3.975150000000000006e+01,1.081510821933385897e-31
4.015100000000000335e+01,4.095000000000000284e+01,4.055049999999999955e+01,1.081510821933385897e-31
4.095000000000000284e+01,4.174900000000000233e+01,4.134950000000000614e+01,1.081510821933385678e-31
